#vs30_ref=800,,,,,,,,,,,,,,,,,,,,,,,,,
ampcode,level,PGA,SA(0.075),SA(0.1),SA(0.2),SA(0.3),SA(0.4),SA(0.5),SA(0.75),SA(1.0),SA(1.5),SA(2.0),SA(3.0),sigma_PGA,sigma_SA(0.075),sigma_SA(0.1),sigma_SA(0.2),sigma_SA(0.3),sigma_SA(0.4),sigma_SA(0.5),sigma_SA(0.75),sigma_SA(1.0),sigma_SA(1.5),sigma_SA(2.0),sigma_SA(3.0)
TST,0.0251188643,2.8427423250400734,2.5438742615042838,2.6918629930286664,3.904440407892978,3.700622899369436,3.8100681345772967,3.5635285279072932,3.0752508902592495,3.253499252635615,3.7011398846296495,2.8626081417283764,2.258729245084493,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
TST,0.0316227766,2.7359730361390655,2.3792928507610793,2.4747649577153124,3.531921130449156,3.395998664044446,3.55227800616663,3.4340584229277193,3.100819114680445,3.344377742936805,3.846437829027089,3.0332977271842916,2.3221123164582815,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
TST,0.0398107171,2.6332138469827995,2.225359387576034,2.275175820758395,3.194943593732175,3.1164501861183194,3.311930019353199,3.3092922249783765,3.126599918283045,3.4377947003459592,3.9974398253803414,3.2141650717297834,2.387274004791993,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
TST,0.0501187234,2.534314144965661,2.081384981475582,2.0916834959056643,2.8901167939540513,2.8599133065076408,3.0878440367654703,3.1890590328683626,3.152595068245111,3.5338210297838777,4.15436979971399,3.405817045820559,2.4542642199083478,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
TST,0.0630957344,2.4391289731123322,1.9467253095011106,1.9229897790431947,2.614373256285529,2.6244937784054394,2.8789197667042647,3.073194153178094,3.178806346729048,3.632529617781536,4.317460470560342,3.608896707993734,2.5231342729052817,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
TST,0.0794328235,2.347518817550597,1.820777732858008,1.7679011638301974,2.3649381677937904,2.408453280909278,2.6841313608615263,2.961538874577346,3.2052355510976316,3.733995388270197,4.486953694945411,3.8240854638714015,2.59393691578419,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
TST,0.1,2.2593494074467286,1.7029786060173906,1.6253204051288914,2.139301466454979,2.210196593796561,2.5025223866513038,2.8539402558130695,3.231884492760582,3.838295354549798,4.6631008188643985,4.0521053421252455,2.6667263784354693,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
TST,0.125892541,2.1744915132015916,1.5928007472438013,1.4942387472867087,1.935192568182208,2.028259806372645,2.3332011201325833,2.750250910119845,3.25875499869721,3.9455086830418518,4.846163058796213,4.293721428130651,2.7415584138723035,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
TST,0.158489319,2.092820758215222,1.4897510811350432,1.3737287895908576,1.7505575219547953,1.8612995114108701,2.175336170368276,2.650328804757269,3.2858489113138614,4.0557167524699524,5.0364118876709565,4.549744429579813,2.8184903403009485,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
TST,0.199526231,2.01421743888874,1.3933684348814341,1.2629379283167104,1.5835383460735957,1.708082890239195,2.028152401628164,2.554037069270246,3.3131680878079077,4.16900321253133,5.234129432107693,4.821033389510881,2.897581082861656,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
TST,0.251188643,1.9385663455845459,1.30322146989181,1.1610823193196416,1.432454323236647,1.56747860243055,1.8909271204715952,2.461243803611838,3.3407144015015864,4.285454052330001,5.4396088993579745,5.108498580315106,2.978891222211481,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
TST,0.316227766,1.8657565983266515,1.2189067569866239,1.067441338699837,1.2957850969924283,1.438448440850171,1.762986535688414,2.371821903060621,3.3684897403577643,4.405157658905406,5.653155000299744,5.4131045416639205,3.0624830362206534,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
TST,0.398107171,1.7956814796487437,1.1400469653714032,0.9813524780672201,1.1721553629265506,1.3200396568679131,1.6437024413984076,2.2856488784311924,3.396496008773226,4.5282048913155855,5.87508441361241,5.735873333999621,3.1484205525583024,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
TST,0.501187234,1.7282382814981474,1.0662891778956656,0.9022066617054241,1.0603210354521553,1.2113779314074347,1.5324891384269446,2.202606692364276,3.4247351264733585,4.65468914432002,6.105726246012852,6.077887954612761,3.2367695940463195,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
TST,0.630957344,1.6633281525961396,0.9973033092537361,0.8294439347254179,0.9591567247254876,1.1116609153998387,1.4288005548034144,2.1225815950595623,3.453209029461377,4.784706422821518,6.345422526670142,6.440295980629258,3.327597831557421,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
